County,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,State
"Carroll County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,GA
"Catoosa County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,GA
"Chatham County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,GA
"Cherokee County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,GA
"Clayton County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,GA
"Cobb County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,49.0,GA
"DeKalb County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,GA
"Douglas County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,GA
"Floyd County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,GA
"Fulton County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,75.0,GA
"Glynn County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,GA
"Gwinnett County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0,GA
"Gwinnett County, GA",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,GA
"Hall County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,GA
"Henry County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,GA
"Paulding County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,GA
"Richmond County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,GA
"Rockdale County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,GA
"Whitfield County, GA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,GA
"Cook County, IL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,705.0,IL
"Cook County, IL",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,43.0,IL
"DuPage County, IL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,59.0,IL
"DuPage County, IL",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,IL
"Kane County, IL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,IL
"Lake County, IL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,52.0,IL
"LaSalle County, IL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,IL
"McHenry County, IL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,IL
"Madison County, IL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,IL
"Peoria County, IL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,IL
"St. Clair County, IL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,IL
"Will County, IL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0,IL
"Winnebago County, IL",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0,IL
"Allegany County, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12.0,MD
"Anne Arundel County, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,61.0,MD
"Baltimore County, MD",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,MD
"Baltimore County, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,120.0,MD
"Carroll County, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,13.0,MD
"Cecil County, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,18.0,MD
"Frederick County, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,21.0,MD
"Harford County, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,36.0,MD
"Howard County, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11.0,MD
"Montgomery County, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,38.0,MD
"Prince George's County, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,28.0,MD
"Washington County, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14.0,MD
"Wicomico County, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,15.0,MD
"Worcester County, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0,MD
"Baltimore city, MD",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,MD
"Baltimore city, MD",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,226.0,MD
"Albany County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,NY
"Bronx County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,176.0,NY
"Bronx County, NY",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,NY
"Dutchess County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,NY
"Erie County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,NY
"Erie County, NY",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,32.0,NY
"Kings County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,227.0,NY
"Kings County, NY",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,NY
"Kings County, NY",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,15.0,NY
"Monroe County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,39.0,NY
"Monroe County, NY",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,NY
"Nassau County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,114.0,NY
"New York County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,179.0,NY
"New York County, NY",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,NY
"Niagara County, NY",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12.0,NY
"Onondaga County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,NY
"Ontario County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,NY
"Orange County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,NY
"Queens County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,138.0,NY
"Queens County, NY",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,21.0,NY
"Richmond County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0,NY
"Rockland County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,NY
"Suffolk County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,141.0,NY
"Suffolk County, NY",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,NY
"Sullivan County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,NY
"Westchester County, NY",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,49.0,NY
"Westchester County, NY",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,NY
"Butler County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,OH
"Clark County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,OH
"Clermont County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,OH
"Cuyahoga County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,168.0,OH
"Cuyahoga County, OH",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,15.0,OH
"Franklin County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,158.0,OH
"Franklin County, OH",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,21.0,OH
"Greene County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,OH
"Hamilton County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,100.0,OH
"Hamilton County, OH",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,OH
"Hardin County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,OH
"Jackson County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,OH
"Jefferson County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,OH
"Lake County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0,OH
"Licking County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,OH
"Licking County, OH",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,OH
"Lorain County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,OH
"Lucas County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,44.0,OH
"Mahoning County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,OH
"Montgomery County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,124.0,OH
"Montgomery County, OH",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,18.0,OH
"Portage County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,OH
"Richland County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,OH
"Ross County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,OH
"Scioto County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,OH
"Stark County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,OH
"Summit County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,53.0,OH
"Summit County, OH",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0,OH
"Trumbull County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,OH
"Warren County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,OH
"Wood County, OH",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,OH
"Allegheny County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,124.0,PA
"Allegheny County, PA",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,PA
"Armstrong County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,PA
"Beaver County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,PA
"Berks County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,PA
"Berks County, PA",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,19.0,PA
"Blair County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,PA
"Bucks County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,90.0,PA
"Butler County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,PA
"Cambria County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,PA
"Chester County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,PA
"Dauphin County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,PA
"Delaware County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,87.0,PA
"Delaware County, PA",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14.0,PA
"Erie County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,PA
"Fayette County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,PA
"Lackawanna County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,PA
"Lancaster County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,PA
"Lawrence County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,PA
"Lehigh County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,PA
"Luzerne County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,PA
"Mercer County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,PA
"Monroe County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,PA
"Montgomery County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,94.0,PA
"Montgomery County, PA",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0,PA
"Northampton County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,PA
"Philadelphia County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,399.0,PA
"Philadelphia County, PA",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,PA
"Philadelphia County, PA",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,17.0,PA
"Schuylkill County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,PA
"Venango County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,PA
"Washington County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,PA
"Westmoreland County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0,PA
"York County, PA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0,PA
"Anderson County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,TX
"Aransas County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,TX
"Bell County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,TX
"Bexar County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,135.0,TX
"Bexar County, TX",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,25.0,TX
"Brazoria County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,TX
"Collin County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,TX
"Comal County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,TX
"Dallas County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,171.0,TX
"Dallas County, TX",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,27.0,TX
"Dallas County, TX",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,24.0,TX
"Denton County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,TX
"Ector County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,TX
"El Paso County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,59.0,TX
"El Paso County, TX",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,TX
"Fort Bend County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,TX
"Galveston County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,49.0,TX
"Grayson County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,TX
"Guadalupe County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,TX
"Harris County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,348.0,TX
"Harris County, TX",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,46.0,TX
"Hidalgo County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,TX
"Jefferson County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,51.0,TX
"Johnson County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,TX
"Liberty County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,TX
"Lubbock County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,TX
"McLennan County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,TX
"Midland County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,TX
"Montgomery County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,73.0,TX
"Nueces County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,48.0,TX
"Orange County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0,TX
"Polk County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,TX
"Smith County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,TX
"Tarrant County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,94.0,TX
"Tarrant County, TX",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,TX
"Tom Green County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,TX
"Travis County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,78.0,TX
"Travis County, TX",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,21.0,TX
"Wichita County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,TX
"Williamson County, TX",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,TX
"Chesterfield County, VA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,VA
"Fairfax County, VA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,VA
"Fairfax County, VA",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,VA
"Henry County, VA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,VA
"Prince William County, VA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,VA
"Pulaski County, VA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,VA
"Tazewell County, VA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,VA
"Wise County, VA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,VA
"Chesapeake city, VA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,VA
"Newport News city, VA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,VA
"Norfolk city, VA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,VA
"Portsmouth city, VA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,VA
"Richmond city, VA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,VA
"Virginia Beach city, VA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,VA
"Virginia Beach city, VA",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,VA
"Benton County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,WA
"Clallam County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,WA
"Clark County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0,WA
"Clark County, WA",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,WA
"Cowlitz County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,WA
"Grant County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,WA
"King County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,216.0,WA
"King County, WA",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,33.0,WA
"King County, WA",2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0,WA
"Kitsap County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,WA
"Pierce County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,68.0,WA
"Skagit County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,WA
"Snohomish County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,86.0,WA
"Snohomish County, WA",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,WA
"Spokane County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,85.0,WA
"Spokane County, WA",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0,WA
"Stevens County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,WA
"Thurston County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,WA
"Whatcom County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,WA
"Yakima County, WA",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,WA
"Brown County, WI",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,WI
"Brown County, WI",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,WI
"Dane County, WI",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,35.0,WI
"Dane County, WI",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,WI
"Kenosha County, WI",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,WI
"Milwaukee County, WI",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,176.0,WI
"Milwaukee County, WI",2006.0,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0,WI
"Racine County, WI",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,WI
"Rock County, WI",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,WI
"Waukesha County, WI",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,WI
"Winnebago County, WI",2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,WI
"Cochise County, AZ",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,AZ
"Gila County, AZ",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,AZ
"Maricopa County, AZ",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,411.0,AZ
"Maricopa County, AZ",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,118.0,AZ
"Maricopa County, AZ",2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,45.0,AZ
"Mohave County, AZ",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,AZ
"Navajo County, AZ",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,AZ
"Pima County, AZ",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,137.0,AZ
"Pima County, AZ",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,19.0,AZ
"Pinal County, AZ",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0,AZ
"Yavapai County, AZ",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,AZ
"Yavapai County, AZ",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,AZ
"Yuma County, AZ",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,AZ
"Alachua County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,FL
"Bay County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,FL
"Brevard County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,84.0,FL
"Brevard County, FL",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,FL
"Broward County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,222.0,FL
"Broward County, FL",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,40.0,FL
"Citrus County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,FL
"Clay County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,FL
"Collier County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0,FL
"Duval County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,124.0,FL
"Duval County, FL",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,FL
"Escambia County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,FL
"Hernando County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,36.0,FL
"Hillsborough County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,231.0,FL
"Hillsborough County, FL",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,26.0,FL
"Indian River County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,FL
"Lake County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,FL
"Lee County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,86.0,FL
"Lee County, FL",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,FL
"Leon County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,FL
"Manatee County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,FL
"Marion County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,FL
"Martin County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,FL
"Miami-Dade County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,110.0,FL
"Miami-Dade County, FL",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,39.0,FL
"Monroe County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,FL
"Nassau County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,FL
"Okaloosa County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,FL
"Orange County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,93.0,FL
"Orange County, FL",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,FL
"Osceola County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,FL
"Palm Beach County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,220.0,FL
"Palm Beach County, FL",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,30.0,FL
"Palm Beach County, FL",2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12.0,FL
"Pasco County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,112.0,FL
"Pasco County, FL",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,FL
"Pinellas County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,202.0,FL
"Pinellas County, FL",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,33.0,FL
"Polk County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,FL
"Polk County, FL",2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,21.0,FL
"St. Johns County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,FL
"St. Lucie County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,FL
"Santa Rosa County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,FL
"Sarasota County, FL",2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,65.0,FL
